,salary_in_usd
0,85315.43821328979
1,147107.98186689365
2,141457.57223185006
3,59898.38538586799
4,36455.20676957867
5,71274.42548568324
6,80882.97208722346
7,46344.09497722847
8,80679.0795040302
9,142805.95943234744
10,28717.15350109343
11,144471.34790707548
12,65267.53600156561
13,27370.26208024759
14,71163.07227251581
15,39184.63293362901
16,95855.01906198643
17,146531.0383388412
18,60763.44099213251
19,82382.25230155267
20,97141.27259034838
21,72484.7530370285
22,82051.64700074072
23,144268.260068716
24,20147.033341750157
25,33053.0683983364
26,132743.35465957795
27,152232.05978645672
28,58247.27407026764
29,99763.9116041645
30,100969.76610470987
31,132166.3061094851
32,121402.51006784773
33,39638.042223817065
34,50867.07173392927
35,73365.49805760712
36,144268.260068716
37,12941.852694142368
38,64324.104256285806
39,144268.260068716
40,13995.04832613052
41,21278.52507842388
42,141254.48439349057
43,144268.260068716
44,132743.35465957795
45,147819.247517416
46,139377.74655114784
47,60499.206491868616
48,132166.3061094851
49,28523.50364742136
50,136741.0744058539
51,70865.83556606676
52,142247.47067664846
53,139377.74655114784
54,140940.09541902068
55,75648.22527401976
56,144268.260068716
57,144363.97269138368
58,142960.8848110882
59,141398.53594321536
60,142960.8848110882
61,145671.34794901146
62,141398.53594321536
63,141398.53594321536
64,144055.09208097396
65,167177.52677150583
66,167177.52677150583
67,141398.53594321536
68,142960.8848110882
69,74253.86049127903
70,136810.75220463585
71,141398.53594321536
72,134912.29167238818
73,48178.17264667915
74,84470.31903921108
75,139377.74655114784
76,50161.50512861156
77,75648.22527401976
78,126919.1452201191
79,142247.47067664846
80,32841.498064506646
81,36252.1189312192
82,136741.0744058539
83,146249.41722163028
84,140940.09541902068
85,74467.02847902106
86,74467.02847902106
87,144268.260068716
88,141398.53594321536
89,77659.29667992622
90,56342.6633166466
91,38589.46816757541
92,66638.1516285299
93,49419.04825668839
94,141398.53594321536
95,138722.2315587682
96,31391.87693335349
97,76399.91864033809
98,75092.54338271031
99,144875.40393324837
100,141398.53594321536
101,142960.8848110882
102,142960.8848110882
103,167177.52677150583
104,144268.260068716
105,66264.317569131
106,142960.8848110882
